"codigot";"sequencia_trecho";"origem_data";"origem_pais";"origem_uf";"origem_cidade";"destino_data";"destino_pais";"destino_uf";"destino_cidade";"meio_transporte";"numero_diarias";"missao"
"0000000000015429439";"1";"20190123";"Brasil";"Rio Grande do Sul";"Porto Alegre";"20190125";"Brasil";"Distrito Federal";"Brasília";"Aéreo";"2,00";"Sim"
"0000000000015429439";"2";"20190125";"Brasil";"Distrito Federal";"Brasília";"20190125";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Aéreo";",50";"Não"
"0000000000015429714";"1";"20190123";"Brasil";"Rio Grande do Sul";"Porto Alegre";"20190125";"Brasil";"Distrito Federal";"Brasília";"Aéreo";"2,00";"Sim"
"0000000000015429714";"2";"20190125";"Brasil";"Distrito Federal";"Brasília";"20190125";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Aéreo";",50";"Não"
"0000000000015429932";"1";"20190326";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"20190330";"Brasil";"Pernambuco";"Recife";"Aéreo";"4,00";"Sim"
"0000000000015429932";"2";"20190330";"Brasil";"Pernambuco";"Recife";"20190330";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Aéreo";",50";"Não"
"0000000000015430129";"2";"20190125";"Brasil";"Distrito Federal";"Brasília";"20190125";"Brasil";"Ceará";"Fortaleza";"Aéreo";",50";"Não"
"0000000000015430129";"1";"20190123";"Brasil";"Ceará";"Fortaleza";"20190125";"Brasil";"Distrito Federal";"Brasília";"Aéreo";"2,00";"Sim"
"0000000000015430810";"2";"20190126";"Brasil";"Distrito Federal";"Brasília";"20190126";"Brasil";"Pará";"Belém";"Aéreo";",50";"Não"
"0000000000015430810";"1";"20190123";"Brasil";"Pará";"Belém";"20190126";"Brasil";"Distrito Federal";"Brasília";"Aéreo";"3,00";"Sim"
"0000000000015434007";"2";"20190125";"Brasil";"Distrito Federal";"Brasília";"20190125";"Brasil";"Pernambuco";"Recife";"Aéreo";",50";"Não"
"0000000000015434007";"1";"20190123";"Brasil";"Pernambuco";"Recife";"20190125";"Brasil";"Distrito Federal";"Brasília";"Aéreo";"2,00";"Sim"
"0000000000015435008";"1";"20190123";"Brasil";"Ceará";"Fortaleza";"20190125";"Brasil";"Distrito Federal";"Brasília";"Aéreo";"2,00";"Sim"
"0000000000015435008";"2";"20190125";"Brasil";"Distrito Federal";"Brasília";"20190125";"Brasil";"Ceará";"Fortaleza";"Aéreo";",50";"Não"
"0000000000015437882";"1";"20190123";"Brasil";"Pernambuco";"Recife";"20190125";"Brasil";"Distrito Federal";"Brasília";"Aéreo";"2,00";"Sim"
"0000000000015437882";"2";"20190125";"Brasil";"Distrito Federal";"Brasília";"20190125";"Brasil";"Pernambuco";"Recife";"Aéreo";",50";"Não"
"0000000000015442463";"1";"20190323";"Brasil";"Bahia";"Salvador";"20190331";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Aéreo";"4,00";"Sim"
"0000000000015442463";"2";"20190331";"Brasil";"Rio Grande do Sul";"Porto Alegre";"20190331";"Brasil";"Bahia";"Salvador";"Aéreo";",50";"Não"
"0000000000015445393";"2";"20190216";"Brasil";"Pernambuco";"Recife";"20190216";"Brasil";"São Paulo";"São Paulo";"Aéreo";",50";"Não"
"0000000000015445393";"1";"20190215";"Brasil";"São Paulo";"São Paulo";"20190216";"Brasil";"Pernambuco";"Recife";"Aéreo";"1,00";"Sim"
"0000000000015447274";"1";"20190122";"Brasil";"Rondônia";"Porto Velho";"20190125";"Brasil";"Distrito Federal";"Brasília";"Aéreo";"3,00";"Sim"
"0000000000015447274";"2";"20190125";"Brasil";"Distrito Federal";"Brasília";"20190125";"Brasil";"Rondônia";"Porto Velho";"Aéreo";",50";"Não"
"0000000000015450147";"1";"20190118";"Brasil";"Pernambuco";"Recife";"20190212";"Portugal";"";"Lisboa";"Aéreo";",00";"Sim"
"0000000000015450147";"2";"20190212";"Portugal";"";"Lisboa";"20190212";"Brasil";"Pernambuco";"Recife";"Aéreo";",00";"Não"
